CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR,hasRd,numLE_1,isRampart_1,isCircle_1,numLE_2,isRampart_2,isCircle_2,numLE_3,isRampart_3,isCircle_3,isHu_1,ejc_shape_1,isHu_2,ejc_shape_2,isHu_3,ejc_shape_3,ejc_svg_1,ejc_svg_2,ejc_svg_3
14-1-002631,30.67093805,106.7061337,30.67100784,106.706161,3.707880004,0.114016319,3.827722117,3.568308221,0.361872481,1.072699408,54.40109489,0.000388615,0.000464499,0.058339171,0.057335321,10.09416487,0.053185839,0.023756677,1,23,1,SLEPS/Rd,SmSL,,,Smp,,,,,4,3,4,1,1,0,0,,,,,,,0,SL,,,,,SL_S,,
03-1-013090,-23.45162127,219.0482785,-23.45157561,219.0481822,4.445332089,0.126952476,4.594577655,4.280758882,0.363233821,1.073309145,148.5494019,0.00044133,0.000511711,0.068138762,0.064358904,9.779305382,0.050468178,0.022666183,1,28,1,SLERC,SmSL,,Ejecta is partially buried by deposits.,Smp,,Floor Deposits,,,3,2,3,0,1,1,1,,,,,,,0,SL,,,,,SL_C,,
10-1-000925,40.39208276,89.12404272,40.39204093,89.12399089,4.933083926,0.090164004,5.035184504,4.804421663,0.29926533,1.048031346,74.97246618,0.000296986,0.000408094,0.042336588,0.045252692,9.034266485,0.038411229,0.013232364,1,33,1,SLERS,HuBL,,,Smp,Gullies,,,,4,3,4,0,1,1,0,,,,,,,1,BL,,,,,BL_S,,
02-1-004311,19.73664595,185.3591059,19.73673589,185.3591964,6.963884684,0.17914611,7.25308489,6.648864324,0.39958837,1.090875755,109.9405817,0.000470155,0.000489001,0.068406539,0.065875012,5.247852057,0.028766637,0.014922027,0.94303399,40,1,SLERS,HuBL,Pseudo-Small-Crown,,,,Floor Deposits,,,3,2,2,0,1,1,0,,,,,,,1,BL,,,,,BL_S,,
06-1-000501,43.51842418,273.5533173,43.51847979,273.5534127,3.588403595,0.093340158,3.740105453,3.419832886,0.404884045,1.093651525,75.42429678,0.000268689,0.000368479,0.039584177,0.039315742,5.549351836,0.032267709,0.017089749,0.9057284,24,1,SLERC,HuSL,,There may be additional lobes here.,,,Floor Deposits,,,3,2,1,0,1,1,1,,,,,,,1,SL,,,,,SL_C,,
05-1-003224,44.99983174,279.6733218,44.99994623,279.6733028,7.152938057,0.217614273,7.607441907,6.684778433,0.477345542,1.138024541,49.61315528,0.000307363,0.000421418,0.04528554,0.041772871,2.237296958,0.013960431,0.009821698,0.97418231,97,2,DLEPC/DLEPS,SmSL/SmBL,,,,,,,,2,2,1,0,2,0,1,2,0,0,2,0,1,0,SL,0,BL,,,SL_C,BL_S,
09-1-001665,56.04008406,3.327640863,56.04027128,3.327289294,5.412531477,0.120320982,5.452586503,5.375193653,0.167887194,1.014398151,148.5105895,0.000344031,0.000660019,0.064616983,0.044654394,26.61529457,0.083774044,0.01468089,0.8369422,59,1,SLERS,HuBL,Butterfly,,Smp,,,,,3,2,3,0,1,1,0,,,,,,,1,BL,,,,,BL_S,,
10-1-000637,41.34096402,15.92963744,41.34045905,15.92985021,6.598862526,0.252524868,6.877897173,6.296627584,0.402346846,1.09231443,174.8884517,0.000570206,0.000813887,0.090218816,0.08255679,6.765892975,0.038633335,0.020258431,0.88566989,41,1,SLEPS,HuBL,Small-Crown,,,,Floor Deposits,,,2,2,2,0,1,0,0,,,,,,,1,BL,,,,,BL_S,,
12-1-007181,-59.1746027,86.49338139,-59.17465146,86.49335522,3.565345927,0.253327459,4.106160694,2.908945664,0.705776622,1.411563215,73.14890254,0.000590895,0.001053803,0.082834947,0.075079966,3.284629451,0.023294661,0.046240727,1,32,1,SLEPC,HuAm,,,,,Floor Deposits,,,2,2,1,0,1,0,1,,,,,,,1,Am,,,,,Am_C,,
03-1-013582,-23.29619194,180.0119095,-23.29566506,180.0111569,6.404267587,0.066869652,6.587170948,6.314214411,0.284882642,1.043228899,147.1160044,0.00021074,0.0010244,0.096219622,0.05222875,11.90308435,0.054142187,0.017512196,0.68565136,24,1,SLERS,HuBL,,,CpxFF,,Slump Deposits,,,3,2,3,0,1,1,0,,,,,,,1,BL,,,,,BL_S,,
11-0-003670,-21.02635855,41.57913177,-21.02633176,41.57918152,5.47652106,0.080367704,5.627394123,5.318278146,0.326869662,1.058123319,33.14051041,0.00017461,0.000193294,0.02578444,0.025463115,3.928625982,0.018108103,0.007012234,1,35,1,SLERS,HuBL,Small-Crown,,Smp,,Floor Deposits,,,4,2,3,0,1,1,0,,,,,,,1,BL,,,,,BL_S,,
14-1-000757,39.23879631,101.568474,39.23877161,101.5685024,7.84990627,0.12831993,8.219888764,7.496351232,0.410240864,1.096518627,141.1889435,0.000236192,0.000338086,0.038064837,0.034716182,2.31200796,0.013277432,0.007181267,1,52,2,Rd/DLEPC/DLEPS,HuSL,,,,,,,,4,3,4,1,2,0,1,2,0,0,2,0,1,1,SL,1,SL,,,SL_C,SL_S,
03-1-003590,-10.99645556,218.3295759,-10.99654591,218.3293468,8.643773421,0.174959526,8.915117326,8.372709489,0.343483687,1.064782833,158.11644,0.000345731,0.000372217,0.052969603,0.048494555,4.547057575,0.02130692,0.008835068,1,53,1,SLERS,HuSL,,Ejecta is partially buried by deposits.,CpxSuPt,Terraced,Slump Deposits,,,4,2,4,0,1,1,0,,,,,,,1,SL,,,,,SL_S,,
11-0-004625,-17.86596154,41.49019713,-17.86600321,41.49016758,9.601679006,0.126160185,9.797503814,9.399333253,0.282185031,1.042361575,97.3133641,0.000289178,0.000295117,0.041774656,0.040499055,4.897044152,0.019771007,0.006318558,1,60,1,SLEPS,HuSL,,,CpxFF,,Floor Deposits,,,3,2,2,0,1,0,0,,,,,,,1,SL,,,,,SL_S,,
09-1-001208,61.52154871,81.34886016,61.52118013,81.35220497,4.501626796,0.050264808,4.527319003,4.247417359,0.346161422,1.065899256,73.87043273,0.00014564,0.000865254,0.016925752,0.057598131,4.043443025,0.035766775,0.014993635,0.69881451,36,2,DLEPS,HuSL,,,Smp,,,,,4,3,4,0,2,0,0,2,0,0,,,,1,SL,1,SL,,,SL_S,SL_S,
06-0-002382,13.82736221,357.2805524,13.8274431,357.2804652,8.780683056,0.173836558,8.806053075,8.733547616,0.12806012,1.008301948,81.97470878,0.000438326,0.000443208,0.063969048,0.062706581,40.25349161,0.078449497,0.010298545,1,55,1,SLERS,HuAm,,,CpxCPk,,,,,3,2,3,0,1,1,0,,,,,,,1,Am,,,,,Am_S,,
10-0-000751,9.839758356,2.822971368,9.839768161,2.82298245,6.788213768,0.145056615,7.133297372,6.444144885,0.428821268,1.106942426,134.6449375,0.000307905,0.000309138,0.045725971,0.042504575,3.035528897,0.017504454,0.010181224,1,42,1,SLERS,HuBL,Small-Crown,,,,,,,3,2,3,0,1,1,0,,,,,,,1,BL,,,,,BL_S,,
01-1-000191,70.21355852,236.2092135,70.21356226,236.209147,8.526824759,0.100743147,8.627619776,8.412344594,0.221993534,1.02559039,111.1538055,0.000243044,0.000704904,0.03548797,0.034987062,7.488965105,0.025051304,0.005999188,1,103,2,DLERS,HuSL,,,CpxFF,,Slump Deposits,,,3,2,3,0,2,1,0,2,1,0,,,,1,SL,1,SL,,,SL_S,SL_S,
06-1-000788,41.53934143,316.7569582,41.53941253,316.7567945,7.302613581,0.124760335,7.545266011,7.05659495,0.354028202,1.069250264,116.2027457,0.000277675,0.000386396,0.042908964,0.040486244,3.869262949,0.019958127,0.008637653,0.89852488,44,2,DLEPC/DLERS,HuSL,Inner is Pin-Cushion,,Smp,,,,,4,3,4,0,2,0,1,2,1,0,2,0,1,1,SL,1,SL,,,SL_C,SL_S,
10-0-001440,0.31257538,66.03716536,0.312753186,66.03688344,11.93251222,0.3442177,12.54804974,11.3086895,0.433339313,1.109593622,131.3710623,0.000608945,0.00060733,0.093333509,0.085212981,3.244933986,0.019845164,0.011748289,1,73,1,SLERS,HuBL,,,CpxSuPt,Terraced,Slump Deposits / Floor Deposits,,,3,2,3,0,1,1,0,,,,,,,1,BL,,,,,BL_S,,
15-1-024903,-23.03846689,127.0613235,-23.03845553,127.0612464,6.405189102,0.093237314,6.549488324,6.261663301,0.293191238,1.045966225,115.7551279,0.000280922,0.000293744,0.040890966,0.038315092,6.60082786,0.027253529,0.0091438,1,42,1,Rd/SLERS,HuSL,,,Smp,,Floor Deposits,,,4,3,3,1,1,1,0,,,,,,,1,SL,,,,,SL_S,,
14-1-013318,1.988996749,136.8974424,1.988921183,136.8974523,3.767320345,0.084831158,3.946918481,3.592787684,0.414000535,1.098567137,6.141666375,0.000339703,0.00037276,0.055379795,0.049605446,6.670604199,0.039398942,0.021625456,1,24,1,SLEPS,HuAm,,Ejecta is partially buried by deposits.,Smp,,,,,4,2,4,0,1,0,0,,,,,,,1,Am,,,,,Am_S,,
15-1-020359,-19.59591038,142.944805,-19.59592304,142.9448165,4.478174458,0.042992549,4.50788795,4.445832191,0.165355899,1.013958187,19.51616251,0.000213412,0.00024208,0.03328633,0.031235987,23.92430714,0.059954382,0.010334769,1,29,1,SLEPS,HuAm,,,Smp,,Floor Deposits,,,4,3,4,0,1,0,0,,,,,,,1,Am,,,,,Am_S,,
02-1-000812,38.02878913,218.1992132,38.02898032,218.1992539,7.451036461,0.216877316,7.860181258,7.033886293,0.446315173,1.117473461,47.11282502,0.000476063,0.00061731,0.072181212,0.06647329,3.952273073,0.023643403,0.014725271,0.93244046,45,1,Rd/SLEPS,HuBL,Pin-Cushion,,,,,,,3,2,3,1,1,0,0,,,,,,,1,BL,,,,,BL_S,,
15-1-038458,-35.63514078,126.1301105,-35.63516114,126.1301343,12.41910659,0.247979402,13.2008433,11.6777667,0.466307341,1.130425332,10.12624863,0.000358779,0.000507018,0.060270415,0.05227306,1.694190541,0.010730296,0.007227858,1,85,1,SLEPS,SmSL,,,CpxFF,,Floor Deposits,,,2,2,1,0,1,0,0,,,,,,,0,SL,,,,,SL_S,,
11-1-018322,-41.4730291,12.19493215,-41.47287869,12.19489278,6.098427267,0.155710908,6.308050728,5.852105671,0.373276508,1.077911282,130.6100341,0.000424286,0.000622793,0.06424484,0.063977098,6.707023561,0.034450106,0.016105354,1,43,1,SLEPS,SmBL,,,,,,,,3,2,3,0,1,0,0,,,,,,,0,BL,,,,,BL_S,,
10-0-003694,9.729212679,72.60449507,9.729303295,72.60460483,13.11217334,0.198825337,13.53381934,12.68586899,0.348400364,1.066842118,71.25751861,0.000339995,0.000328355,0.049697943,0.04747908,2.617872436,0.013222862,0.005593769,1,78,2,DLERS,SmBL,,,CpxFF,Terraced,Slump Deposits,,,3,2,3,0,2,1,0,2,1,0,,,,0,BL,0,BL,,,BL_S,BL_S,
14-1-013319,1.308974262,136.7935015,1.308942679,136.7938902,5.508904442,0.07721898,5.783144341,5.287766995,0.404944706,1.093683656,179.2995752,0.000214203,0.000260534,0.03969907,0.031812615,3.050827785,0.018844792,0.009983027,0.87743628,29,1,SLERS,HuSL,,,,,,,,4,3,4,0,1,1,0,,,,,,,1,SL,,,,,SL_S,,
04-1-007614,-58.61165924,204.0163453,-58.61159546,204.016019,3.572081172,0.06764139,3.694598316,3.411806258,0.383699595,1.082886318,82.74261911,0.00019511,0.000402697,0.027611214,0.030766713,4.901681258,0.026029994,0.012682767,1,32,1,SLERC,HuSL,,Ejecta is partially buried by deposits.,Smp,,,,,2,2,2,0,1,1,1,,,,,,,1,SL,,,,,SL_C,,
16-1-011262,-70.3420834,98.99862179,-70.34192213,98.9982079,3.267439628,0.069137276,3.421667833,3.093497697,0.427340849,1.106083847,103.9431145,0.000280975,0.00079055,0.039624742,0.039476502,5.649047294,0.032960578,0.01906046,1,22,2,SLEPC/SLEPS,HuSL,,,Smp,,,,,4,3,4,0,1,0,1,1,0,0,1,0,1,1,SL,1,SL,,,SL_C,SL_S,
01-3-000351,63.83187619,237.3377108,63.8318985,237.3376257,1.682741387,0.182810681,2.11254916,1.132507839,0.84416343,1.865372659,87.49822091,8.54E-05,0.000145481,0.011997478,0.010094377,0.480935371,0.003598056,0.019714752,1,16,1,SLEPS,HuSL,,,Smp,,Floor Deposits,,,,,,0,1,0,0,,,,,,,1,SL,,,,,SL_S,,
11-0-005899,-13.7332364,13.86092823,-13.73324915,13.86089811,4.648022533,0.109057957,4.886407964,4.409869719,0.43073851,1.108061751,87.66187624,0.000306101,0.000287776,0.04473833,0.041218782,4.079487438,0.024739989,0.0144979,1,30,1,SLEPS,SmBL,,,Smp,,,,,3,2,3,0,1,0,0,,,,,,,0,BL,,,,,BL_S,,
12-1-000350,-44.74937603,30.17561199,-44.75026524,30.17479288,17.62492707,0.560968285,18.37807891,16.84836607,0.399428686,1.090792948,26.88152221,0.000803385,0.001266626,0.128764556,0.115632367,3.806529704,0.020636992,0.010698247,0.97094321,128,1,SLEPS,SmBL,,,CpxFF,,Slump Deposits / Floor Deposits,,,2,2,2,0,1,0,0,,,,,,,0,BL,,,,,BL_S,,
03-1-020665,-32.54190135,216.1424402,-32.54206663,216.1423502,5.871442641,0.19712158,6.383227233,5.34967179,0.545543331,1.193199786,46.18975855,0.000271021,0.000341495,0.042262023,0.038608614,1.827919193,0.012609538,0.011686055,1,39,1,SLEPS,SmBL,,,Smp,,,,,4,3,4,0,1,0,0,,,,,,,0,BL,,,,,BL_S,,
06-1-000664,41.89922436,295.8725623,41.89925869,295.8725659,5.90896778,0.102206642,6.088724785,5.699802549,0.351669594,1.068234335,86.58054647,0.0002508,0.000342898,0.036190882,0.037743319,4.371180555,0.022173682,0.00950544,1,37,1,SLERS,SmAm,,,Smp,,,,,3,2,3,0,1,1,0,,,,,,,0,Am,,,,,Am_S,,
02-1-000876,38.51597376,234.3818661,38.51593437,234.381866,5.092780471,0.146576613,5.257230853,4.898738434,0.36294735,1.07318056,40.82788727,0.000353659,0.000495441,0.05404208,0.054609581,6.939765508,0.03627592,0.016273481,0.93485147,32,1,SLEPS,HuBL,,,Smp,,,,,4,3,4,0,1,0,0,,,,,,,1,BL,,,,,BL_S,,
03-1-020156,-31.34900297,190.9360431,-31.34887261,190.9360659,15.70902827,0.276864347,15.82960834,15.54351884,0.189260375,1.01840571,19.02423346,0.000599875,0.000736342,0.089499518,0.088996835,14.49948963,0.040993857,0.008194849,0.91069436,96,3,MLERS,SmSL,,,CpxCPt,Terraced / Gullies,Slump Deposits,,,3,3,3,0,3,1,0,3,1,0,3,1,0,0,SL,0,SL,0,SL,SL_S,SL_S,SL_S
07-0-000239,-3.7200328,358.5970432,-3.719997236,358.5971471,4.486790953,0.069138298,4.547533506,4.406591716,0.247033338,1.031984309,26.11754341,0.000260508,0.000254774,0.03469399,0.038500738,12.73089633,0.044088535,0.011970175,1,29,1,SLERS,SmBL,,,Smp,,Floor Deposits,,,2,2,1,0,1,1,0,,,,,,,0,BL,,,,,BL_S,,
